sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,maxBStep,avgBStep,countTransact,maxAvailability,maxOnlineStatus,avgAvailability,minOnlineStatus,minAvailability,order
9664,16,5,1153.981,13,333.0,449.99,2182.95,1,349.99,349.99,349.99,2.0,1.0,1.0,3200.0,535.0,478.0,22.0,71.0,1.0,34.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
15287,20,5,4010.71,23,4.99,49.95,394.71,2,14.99,24.99,39.98,4.0,1.0,1.0,3000.0,80.0,26.0,1.0,44.0,2.0,52.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0
37757,9,7,299.58099999999996,16,7.0,49.95,410.7,2,17.99,19.99,37.98,3.0,1.0,1.0,,,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1
36860,7,7,57.48,1,49.99,49.99,49.99,1,49.99,49.99,49.99,5.0,1.0,1.0,,,,,,,,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0
16624,21,5,1215.016,14,79.82,749.0,8167.81,1,599.0,599.0,599.0,4.0,1.0,1.0,,,,,,,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27648,16,6,2366.58,11,249.99,599.95,3379.87,1,249.99,249.99,249.99,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1
45136,15,7,2829.223,48,4.99,699.0,2514.62,11,7.99,149.99,519.89,,,,,,,,,,,,,1.0,,,,,,1
27382,16,6,1567.79,33,9.99,34.99,647.76,2,22.99,34.99,57.98,,,,3100.0,524.0,157.0,12.0,38.0,1.0,3.0,,,1.0,,,,,,0
45578,15,7,2715.526,47,9.99,199.99,675.84,3,9.99,29.99,54.97,1.0,1.0,1.0,600.0,70.0,44.0,4.0,31.0,2.0,347.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
46701,16,7,1411.279,33,12.99,39.99,814.68,1,24.99,24.99,24.99,,,,200.0,474.0,63.0,21.0,54.0,2.0,20.0,,,1.0,,,,,,1
13426,19,5,545.184,3,14.99,14.99,44.97,1,14.99,14.99,14.99,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,0
30479,18,6,776.1010000000001,14,9.99,89.95,658.58,9,9.99,59.95,208.83,,,,1400.0,582.0,172.0,8.0,50.0,2.0,10.0,,,1.0,,,,,,1
25956,15,6,880.065,6,14.99,24.99,139.94,2,24.99,24.99,49.98,3.0,1.0,1.0,1500.0,520.0,63.0,11.0,30.0,2.0,186.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1
14260,20,5,824.71,7,12.99,44.99,243.73,1,39.95,39.95,39.95,1.0,1.0,1.0,600.0,588.0,93.0,3.0,43.0,2.0,14.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1
43835,14,7,2613.225,88,9.99,29.99,1711.12,19,9.99,29.99,363.81,1.0,1.0,1.0,2000.0,577.0,134.0,6.0,42.0,2.0,191.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
42669,13,7,22.426,1,6.99,6.99,6.99,1,6.99,6.99,6.99,,1.0,1.0,300.0,537.0,5.0,0.0,53.0,1.0,34.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0
42943,13,7,279.117,4,7.99,7.99,23.97,2,7.99,7.99,15.98,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,0
48711,17,7,1889.719,50,12.0,59.99,1811.37,2,49.99,49.99,99.98,,,,,,,,,,,,,1.0,,,,,,1
14802,20,5,1226.608,11,9.99,199.99,548.89,11,9.99,199.99,548.89,,,,6000.0,536.0,118.0,11.0,43.0,1.0,165.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1
12796,19,5,634.724,27,8.5,34.99,263.24,3,14.95,21.99,58.93,3.0,1.0,1.0,600.0,536.0,133.0,2.0,51.0,2.0,55.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1
22104,12,6,3011.0690000000004,80,5.0,29.99,731.99,4,16.8,16.8,67.2,2.0,1.0,,1000.0,477.0,106.0,7.0,35.0,2.0,29.0,2.0,2.0,1.0,,1.0,,1.0,,1
1637,9,5,1759.035,24,14.99,59.99,504.88,2,49.99,54.99,104.98,,1.0,1.0,,,,0.0,49.0,2.0,17.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1
24801,14,6,1106.797,8,299.99,429.99,2661.96,1,333.0,333.0,333.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
47992,17,7,1029.4080000000001,14,12.99,59.95,385.85,2,12.99,12.99,25.98,,,,300.0,517.0,13.0,1.0,39.0,1.0,361.0,,,1.0,,,,,,1
19698,9,6,448.301,4,3.99,29.99,86.96,3,3.99,29.99,56.97,2.0,1.0,1.0,300.0,478.0,85.0,24.0,45.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
28287,17,6,0.0,12,3.99,79.99,276.88,12,3.99,79.99,276.88,,,,3000.0,509.0,79.0,10.0,46.0,2.0,13.0,,,1.0,,,,,,1
33385,20,6,1633.156,37,6.99,64.99,1288.49,7,6.99,39.95,191.85,5.0,1.0,1.0,10500.0,515.0,219.0,20.0,67.0,2.0,9.0,5.0,4.5,2.0,1.0,1.0,1.0,1.0,1.0,1
3573,10,5,119.804,8,29.99,29.99,239.92,1,29.99,29.99,29.99,,,,1200.0,548.0,56.0,20.0,31.0,1.0,72.0,,,1.0,,,,,,1
40215,11,7,166.15900000000002,10,34.99,99.99,459.9,3,34.99,39.99,114.97,,,,,,,,,,,,,1.0,,,,,,0
19409,8,6,525.3009999999999,4,549.99,599.99,2349.96,1,599.99,599.99,599.99,,1.0,1.0,3000.0,528.0,95.0,13.0,40.0,1.0,9.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1
44657,14,7,5345.422,47,7.0,59.99,1168.49,7,9.0,59.95,194.92,1.0,1.0,1.0,4000.0,593.0,221.0,3.0,48.0,2.0,51.0,4.0,2.5,2.0,1.0,1.0,1.0,1.0,1.0,0
37309,8,7,632.706,5,19.99,59.95,219.83,2,19.99,59.95,79.94,4.0,1.0,1.0,,,,,,,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
40320,11,7,3290.2990000000004,13,8.99,8.99,98.89,4,8.99,8.99,35.96,1.0,1.0,5.0,900.0,542.0,350.0,24.0,68.0,2.0,66.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,0
17945,0,6,373.726,11,1.0,29.99,71.97,3,1.0,29.99,35.98,,1.0,1.0,600.0,586.0,8.0,7.0,31.0,1.0,25.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1
45872,15,7,458.69599999999997,5,3.99,19.99,47.96,2,3.99,19.99,23.98,4.0,1.0,1.0,1000.0,502.0,192.0,1.0,52.0,2.0,227.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
23414,13,6,117.156,4,9.99,19.99,59.96,2,9.99,19.99,29.98,2.0,1.0,1.0,800.0,509.0,67.0,6.0,45.0,2.0,70.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
42597,13,7,7.388999999999999,2,9.99,9.99,19.98,1,9.99,9.99,9.99,,,,500.0,488.0,147.0,3.0,46.0,1.0,222.0,,,1.0,,,,,,1
47470,16,7,1690.3629999999998,37,9.99,44.99,658.64,12,9.99,44.99,236.88,,,,3500.0,519.0,61.0,44.0,57.0,2.0,5.0,4.0,2.5,4.0,1.0,1.0,1.0,1.0,1.0,1
27492,16,6,1339.6029999999998,15,3.99,59.99,346.81,15,3.99,59.99,346.81,1.0,1.0,1.0,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0
36180,0,7,3451.7129999999997,34,4.99,39.99,472.76,8,9.99,39.99,168.92,4.0,1.0,1.0,,,,,,,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
4000,11,5,9249.843,152,7.99,1299.99,26835.22,16,7.99,1299.99,5852.84,,,,,,,,,,,,,1.0,,,,,,0
15753,21,5,1152.5639999999999,16,3.99,19.99,109.91,5,9.99,19.99,47.97,5.0,1.0,1.0,4000.0,552.0,122.0,11.0,37.0,2.0,22.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1
14405,20,5,393.50199999999995,11,99.99,169.99,1153.92,2,145.99,169.99,315.98,3.0,1.0,1.0,,,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1
18739,6,6,1368.487,47,3.99,29.9,721.86,5,9.99,29.9,114.77,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
38713,10,7,326.032,4,9.99,99.99,149.96,4,9.99,99.99,149.96,2.0,1.0,1.0,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1852,9,5,13368.943000000001,144,0.0,899.0,2343.58,14,0.0,20.0,109.94,,,,1100.0,442.0,64.0,40.0,48.0,2.0,13.0,,,2.0,,,,,,1
1896,9,5,3460.73,74,14.99,114.99,2179.38,10,19.99,114.99,408.9,3.0,1.0,1.0,,,,,,,,4.0,3.5,2.0,1.0,1.0,1.0,1.0,1.0,1
28023,16,6,6729.085999999999,69,1.0,89.99,1099.76,9,10.99,89.99,245.95,1.0,1.0,1.0,800.0,495.0,77.0,17.0,34.0,1.0,45.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1
21913,11,6,0.0,1,899.0,899.0,899.0,1,899.0,899.0,899.0,,,,,,,,,,,,,1.0,,,,,,0
4906,12,5,3921.172,9,3.99,59.99,205.91,8,3.99,59.99,201.92,3.0,1.0,1.0,5000.0,538.0,430.0,14.0,76.0,2.0,22.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1
43606,13,7,20383.227,90,9.99,329.99,10185.24,9,9.99,269.99,504.91,4.0,1.0,1.0,600.0,541.0,72.0,5.0,41.0,1.0,244.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
35943,23,6,1178.55,9,119.0,119.0,119.0,1,,,,2.0,1.0,1.0,600.0,443.0,121.0,3.0,29.0,2.0,187.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
3036,10,5,6732.893,22,3.99,999.0,4597.9,7,3.99,999.0,1420.95,4.0,1.0,1.0,1700.0,491.0,37.0,29.0,50.0,2.0,15.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1
1468,9,5,572.827,13,10.99,699.99,1312.9,1,129.99,129.99,129.99,4.0,1.0,1.0,2500.0,585.0,220.0,15.0,68.0,2.0,11.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
22916,12,6,2315.2529999999997,14,399.99,499.99,6699.86,2,499.99,499.99,999.98,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
32600,20,6,99.469,2,79.99,79.99,159.98,1,79.99,79.99,79.99,4.0,1.0,1.0,,,,,,,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
28856,17,6,6493.22,33,1.0,9.99,107.94,5,5.0,5.0,20.0,4.0,1.0,1.0,100.0,492.0,63.0,2.0,31.0,2.0,14.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1
43603,13,7,1058.6889999999999,10,199.99,659.99,5339.9,3,449.99,659.99,1769.97,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
5925,13,5,0.0,2,19.99,59.99,79.98,2,19.99,59.99,79.98,,,,4000.0,596.0,80.0,10.0,56.0,1.0,11.0,,,1.0,,,,,,0
34107,21,6,383.214,6,899.0,1499.0,6895.0,3,1499.0,1499.0,2998.0,1.0,1.0,4.0,500.0,426.0,1.0,1.0,49.0,1.0,12.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1
20802,10,6,425.866,18,3.99,59.99,583.82,6,3.99,59.99,192.94,,,,9000.0,581.0,359.0,32.0,68.0,2.0,19.0,,,1.0,,,,,,0
48832,17,7,255.512,8,29.99,29.99,239.92,2,29.99,29.99,59.98,5.0,1.0,1.0,,,,,,,,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1
21310,11,6,1542.068,60,3.0,19.99,428.77,6,4.99,19.99,49.97,1.0,1.0,3.0,4000.0,532.0,222.0,4.0,56.0,2.0,30.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,0
21333,11,6,1648.516,26,5.0,19.99,211.85,4,12.99,14.99,57.96,4.0,1.0,1.0,4000.0,536.0,144.0,12.0,32.0,2.0,43.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
32448,20,6,670.952,26,12.99,69.95,971.26,6,12.99,69.95,223.82,,,,600.0,503.0,40.0,5.0,51.0,2.0,13.0,,,1.0,,,,,,1
17104,22,5,794.9680000000001,7,24.99,349.99,424.96,1,24.99,24.99,24.99,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
44657,14,7,5692.575,47,7.0,59.99,1168.49,7,9.0,59.95,194.92,4.0,1.0,1.0,4000.0,593.0,221.0,3.0,48.0,2.0,51.0,4.0,2.5,2.0,1.0,1.0,1.0,1.0,1.0,0
32720,20,6,6709.371999999999,43,6.9,49.99,657.52,7,6.9,49.99,176.17,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
31201,19,6,1815.6729999999998,34,3.99,114.99,1084.49,5,3.99,69.99,100.95,,,,800.0,475.0,34.0,24.0,49.0,2.0,10.0,,,1.0,,,,,,1
18140,1,6,0.0,1,49.99,49.99,49.99,1,49.99,49.99,49.99,,,,,,,,,,,,,1.0,,,,,,0
42623,13,7,3142.513,22,4.99,34.99,314.86,3,4.99,29.99,54.97,,,,4000.0,552.0,223.0,19.0,69.0,1.0,34.0,,,1.0,,,,,,1
19797,9,6,1592.8229999999999,59,9.99,999.0,7534.77,6,9.99,379.0,469.96,1.0,1.0,1.0,11900.0,523.0,151.0,7.0,36.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
13822,19,5,16.930999999999997,1,49.99,49.99,49.99,1,49.99,49.99,49.99,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
3936,11,5,0.0,4,4.99,20.0,44.97,4,4.99,20.0,44.97,,,,4000.0,562.0,203.0,7.0,40.0,1.0,215.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1
10260,16,5,83.196,5,10.0,12.99,58.97,2,10.0,12.99,22.99,,,,2500.0,562.0,305.0,16.0,68.0,1.0,23.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1
20043,9,6,643.484,14,9.99,24.99,239.89,1,24.99,24.99,24.99,1.0,1.0,1.0,2500.0,526.0,63.0,22.0,40.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
45658,15,7,2617.347,11,9.99,59.99,389.92,1,49.99,49.99,49.99,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1
10854,17,5,1984.286,3,19.99,19.99,39.98,1,19.99,19.99,19.99,,,,,,,,,,,,,1.0,,,,,,0
15736,21,5,941.1210000000001,4,29.9,29.9,119.6,1,29.9,29.9,29.9,4.0,1.0,1.0,4000.0,572.0,130.0,9.0,36.0,2.0,309.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
26747,16,6,4926.275,138,3.99,79.99,2627.55,12,12.99,54.99,298.88,1.0,1.0,1.0,600.0,598.0,73.0,2.0,40.0,2.0,144.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1
10780,17,5,682.6260000000001,12,9.95,19.95,65.83,2,9.95,12.99,22.94,2.0,1.0,1.0,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
6412,13,5,2281.814,10,249.99,299.99,2549.9,4,249.99,249.99,999.96,3.0,1.0,1.0,,,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1
20745,10,6,858.505,5,179.99,299.99,1179.95,1,249.99,249.99,249.99,,1.0,1.0,800.0,500.0,58.0,8.0,46.0,2.0,24.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1
24873,14,6,23.055,3,29.99,29.99,89.97,1,29.99,29.99,29.99,,,,,,,,,,,,,1.0,,,,,,1
47812,17,7,972.678,23,9.99,39.9,696.87,3,17.99,39.9,87.88,1.0,1.0,1.0,600.0,578.0,105.0,5.0,44.0,3.0,184.0,4.0,2.5,2.0,1.0,1.0,1.0,1.0,1.0,1
30651,18,6,1233.083,32,19.99,44.99,682.76,7,19.99,44.99,204.93,,,,4000.0,507.0,99.0,10.0,32.0,1.0,18.0,,,1.0,,,,,,1
3962,11,5,2001.6789999999999,15,8.39,49.99,350.05,3,24.99,49.99,99.97,,,,1600.0,514.0,287.0,24.0,28.0,1.0,153.0,,,1.0,,,,,,0
35537,23,6,158.079,8,12.0,39.95,179.85,3,12.0,39.95,63.95,,,,600.0,509.0,35.0,10.0,35.0,2.0,48.0,,,1.0,,,,,,1
29940,18,6,3485.047,145,3.9,19.99,1013.92,8,4.99,9.99,53.42,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
15145,20,5,311.877,9,29.99,69.99,519.92,2,69.99,69.99,139.98,,,,,,,,,,,,,1.0,,,,,,0
48186,17,7,0.0,1,,,,1,,,,,,,,,,,,,,,,1.0,,,,,,0
37987,9,7,2808.535,14,9.99,69.99,299.86,6,9.99,69.99,154.94,,,,1000.0,475.0,75.0,5.0,52.0,2.0,27.0,,,1.0,,,,,,0
43232,13,7,555.011,28,24.99,29.99,159.94,1,24.99,24.99,24.99,,,,,,,,,,,,,1.0,,,,,,0
43602,13,7,5103.107,6,4.99,59.99,244.95,2,4.99,59.99,64.98,1.0,1.0,1.0,4000.0,573.0,232.0,16.0,65.0,1.0,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
29410,17,6,26.041999999999998,2,499.99,499.99,999.98,1,499.99,499.99,499.99,4.0,1.0,1.0,500.0,419.0,7.0,12.0,33.0,1.0,13.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27708,16,6,1684.0220000000002,12,29.99,34.99,204.94,1,34.99,34.99,34.99,,1.0,1.0,8500.0,501.0,223.0,25.0,61.0,1.0,35.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0
10979,17,5,90.48100000000001,7,,,,1,,,,,,,1000.0,556.0,34.0,9.0,41.0,2.0,12.0,,,1.0,,,,,,0
44225,14,7,61.385,3,9.99,9.99,29.97,1,9.99,9.99,9.99,,,,2500.0,566.0,368.0,8.0,51.0,2.0,7.0,,,2.0,,,,,,1
30865,18,6,70.002,2,24.99,24.99,49.98,1,24.99,24.99,24.99,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
38744,10,7,1002.0010000000001,22,7.0,14.99,167.97,2,7.0,7.0,14.0,,1.0,1.0,2600.0,502.0,250.0,14.0,47.0,2.0,11.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1
27396,16,6,528.078,5,54.99,239.0,932.88,1,239.0,239.0,239.0,,,,,,,,,,,,,1.0,,,,,,0
32953,20,6,85.54700000000001,3,34.99,44.99,124.97,1,44.99,44.99,44.99,,,,,,,,,,,,,1.0,,,,,,0
6766,13,5,2207.124,31,19.99,29.99,79.97,1,29.99,29.99,29.99,,,,,,,,,,,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1
12259,18,5,297.695,11,19.99,49.99,359.89,2,29.99,29.99,59.98,,,,,,,,,,,,,1.0,,,,,,0
10643,17,5,5470.5740000000005,19,4.99,399.99,665.57,1,62.99,62.99,62.99,5.0,1.0,1.0,3600.0,482.0,99.0,11.0,27.0,2.0,23.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1
24751,14,6,133.326,3,29.99,29.99,89.97,1,29.99,29.99,29.99,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
39186,10,7,852.2639999999999,6,129.99,129.99,129.99,1,129.99,129.99,129.99,,,,8500.0,490.0,223.0,23.0,63.0,2.0,5.0,,,1.0,,,,,,1
29790,18,6,222.36700000000002,2,17.95,59.95,77.9,2,17.95,59.95,77.9,,1.0,1.0,600.0,557.0,122.0,1.0,38.0,2.0,110.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1
11400,17,5,11884.801000000001,58,6.99,34.99,622.42,5,8.99,18.99,64.95,1.0,1.0,2.0,500.0,503.0,49.0,6.0,26.0,2.0,25.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0
41897,12,7,1360.227,25,4.99,21.99,248.79,2,9.99,19.99,29.98,2.0,1.0,1.0,600.0,567.0,19.0,2.0,32.0,2.0,199.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
27106,16,6,1463.733,35,9.99,59.99,578.74,5,17.99,59.99,135.95,,,,300.0,459.0,76.0,13.0,64.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1
7839,14,5,2850.165,52,1.0,19.95,171.84,13,1.0,19.95,36.93,,,,600.0,581.0,12.0,4.0,70.0,2.0,25.0,,,1.0,,,,,,1
37432,8,7,0.0,6,9.99,54.99,162.94,6,9.99,54.99,162.94,,,,2500.0,70.0,311.0,0.0,47.0,2.0,563.0,,,1.0,,,,,,1
21234,11,6,13.084000000000001,3,34.99,34.99,104.97,1,34.99,34.99,34.99,,,,3000.0,493.0,220.0,14.0,77.0,2.0,13.0,,,1.0,,,,,,1
5834,13,5,1408.0720000000001,110,39.99,1399.99,42161.41,3,249.99,599.99,1349.97,1.0,1.0,1.0,600.0,482.0,60.0,2.0,26.0,2.0,279.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
31372,19,6,983.03,8,3.99,29.99,136.92,5,9.99,29.99,112.95,,1.0,1.0,4000.0,569.0,223.0,6.0,58.0,2.0,173.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1
41564,12,7,2681.803,47,5.99,499.0,2054.8,1,32.99,32.99,32.99,5.0,1.0,1.0,4000.0,509.0,286.0,14.0,51.0,1.0,173.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0
