sessionNo,startHour,startWeekday,bCount,bStep,onlineStatus,availability,address,maxBStep,avgBStep,countTransact,maxAvailability,maxOnlineStatus,avgAvailability,minOnlineStatus,minAvailability,order
3,18,7,2,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,3,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,4,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,5,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,6,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,7,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,8,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,9,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,10,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,10,2.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,10,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,10,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,11,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,11,2.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,11,2.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,11,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,12,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,12,2.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,12,2.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,12,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,12,4.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,12,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
4,18,7,1,1.0,1.0,1.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0
4,18,7,2,1.0,1.0,1.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0
4,18,7,3,1.0,1.0,1.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0
4,18,7,3,3.0,1.0,1.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0
4,18,7,3,1.0,1.0,1.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0
4,18,7,4,1.0,1.0,1.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0
5,18,7,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0
5,18,7,1,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0
6,18,7,1,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0
6,18,7,2,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0
6,18,7,3,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0
7,18,7,1,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0
7,18,7,2,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0
7,18,7,2,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0
8,18,7,1,1.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0
8,18,7,2,1.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0
9,18,7,1,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
10,18,7,1,1.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,2,1.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,3,1.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,3,2.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,3,2.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,3,2.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,3,2.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,3,1.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,4,1.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,4,1.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,5,1.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,5,1.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,5,3.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,5,1.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,5,4.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,5,4.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,5,4.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
10,18,7,5,1.0,1.0,1.0,2.0,4.0,2.875,18.0,1.0,1.0,1.0,1.0,1.0,1
11,18,7,1,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,1,2.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,1,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,2,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,2,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,3,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,3,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,4,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,5,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,6,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,7,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,8,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,9,1.0,1.0,1.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
11,18,7,9,1.0,1.0,3.0,2.0,2.0,1.2,14.0,3.0,1.0,1.4,1.0,1.0,0
12,18,7,1,1.0,1.0,1.0,2.0,5.0,3.25,6.0,1.0,1.0,1.0,1.0,1.0,1
12,18,7,2,1.0,1.0,1.0,2.0,5.0,3.25,6.0,1.0,1.0,1.0,1.0,1.0,1
12,18,7,2,1.0,1.0,1.0,2.0,5.0,3.25,6.0,1.0,1.0,1.0,1.0,1.0,1
12,18,7,2,3.0,1.0,1.0,2.0,5.0,3.25,6.0,1.0,1.0,1.0,1.0,1.0,1
12,18,7,2,4.0,1.0,1.0,2.0,5.0,3.25,6.0,1.0,1.0,1.0,1.0,1.0,1
12,18,7,2,5.0,1.0,1.0,2.0,5.0,3.25,6.0,1.0,1.0,1.0,1.0,1.0,1
13,18,7,1,1.0,1.0,1.0,1.0,5.0,3.8333333333333335,8.0,1.0,1.0,1.0,1.0,1.0,1
13,18,7,2,1.0,1.0,1.0,1.0,5.0,3.8333333333333335,8.0,1.0,1.0,1.0,1.0,1.0,1
13,18,7,2,2.0,1.0,1.0,1.0,5.0,3.8333333333333335,8.0,1.0,1.0,1.0,1.0,1.0,1
13,18,7,2,3.0,1.0,1.0,1.0,5.0,3.8333333333333335,8.0,1.0,1.0,1.0,1.0,1.0,1
13,18,7,2,4.0,1.0,1.0,1.0,5.0,3.8333333333333335,8.0,1.0,1.0,1.0,1.0,1.0,1
13,18,7,2,5.0,1.0,1.0,1.0,5.0,3.8333333333333335,8.0,1.0,1.0,1.0,1.0,1.0,1
13,18,7,2,4.0,1.0,1.0,1.0,5.0,3.8333333333333335,8.0,1.0,1.0,1.0,1.0,1.0,1
13,18,7,2,5.0,1.0,1.0,1.0,5.0,3.8333333333333335,8.0,1.0,1.0,1.0,1.0,1.0,1
14,18,7,1,1.0,1.0,1.0,2.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,0
14,18,7,2,1.0,1.0,1.0,2.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,0
14,18,7,3,1.0,1.0,1.0,2.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,0
14,18,7,4,1.0,1.0,1.0,2.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,0
14,18,7,5,1.0,1.0,1.0,2.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,0
14,18,7,6,1.0,1.0,1.0,2.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,0
14,18,7,7,1.0,1.0,1.0,2.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,0
15,18,7,1,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,4.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,2.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,1,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,1.0,1.0,3.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,1.0,1.0,3.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,4.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,4.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,4.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,2,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,4.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,6.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,3,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,4,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,4,1.0,1.0,3.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,4,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
15,18,7,4,1.0,1.0,1.0,2.0,4.0,1.7254901960784317,60.0,6.0,1.0,1.25,1.0,1.0,1
16,18,7,1,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
17,18,7,1,1.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,1.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,1.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,1.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,1.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,1.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,2.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,2.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,2.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,2.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,3.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,3.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,4.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
17,18,7,2,5.0,1.0,1.0,2.0,5.0,2.25,14.0,1.0,1.0,1.0,1.0,1.0,1
18,18,7,1,1.0,1.0,1.0,1.0,4.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1
18,18,7,2,1.0,1.0,1.0,1.0,4.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1
18,18,7,3,1.0,1.0,1.0,1.0,4.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1
18,18,7,3,1.0,1.0,1.0,1.0,4.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1
18,18,7,3,1.0,1.0,1.0,1.0,4.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1
18,18,7,3,4.0,1.0,1.0,1.0,4.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1
18,18,7,3,1.0,1.0,1.0,1.0,4.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1
19,18,7,1,1.0,1.0,1.0,2.0,4.0,2.6666666666666665,8.0,1.0,1.0,1.0,1.0,1.0,0
19,18,7,1,1.0,1.0,1.0,2.0,4.0,2.6666666666666665,8.0,1.0,1.0,1.0,1.0,1.0,0
19,18,7,1,3.0,1.0,1.0,2.0,4.0,2.6666666666666665,8.0,1.0,1.0,1.0,1.0,1.0,0
19,18,7,1,4.0,1.0,1.0,2.0,4.0,2.6666666666666665,8.0,1.0,1.0,1.0,1.0,1.0,0
19,18,7,2,1.0,1.0,1.0,2.0,4.0,2.6666666666666665,8.0,1.0,1.0,1.0,1.0,1.0,0
19,18,7,2,1.0,1.0,1.0,2.0,4.0,2.6666666666666665,8.0,1.0,1.0,1.0,1.0,1.0,0
19,18,7,2,3.0,1.0,1.0,2.0,4.0,2.6666666666666665,8.0,1.0,1.0,1.0,1.0,1.0,0
19,18,7,2,4.0,1.0,1.0,2.0,4.0,2.6666666666666665,8.0,1.0,1.0,1.0,1.0,1.0,0
20,18,7,1,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,2,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,3,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,4,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,5,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,6,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,7,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,8,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,8,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,9,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,10,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,10,2.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,10,2.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,10,2.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
20,18,7,10,1.0,1.0,1.0,2.0,2.0,1.75,15.0,1.0,1.0,1.0,1.0,1.0,1
21,18,7,1,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0
21,18,7,1,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0
21,18,7,1,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0
21,18,7,1,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0
22,18,7,1,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1
22,18,7,2,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1
22,18,7,2,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1
22,18,7,2,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1
22,18,7,2,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1
23,18,7,1,1.0,1.0,1.0,1.0,5.0,3.0,17.0,1.0,1.0,1.0,1.0,1.0,1
