sessionNo,startWeekday,bCount,onlineStatus,address,maxBStep,avgBStep,maxOnlineStatus,avgAvailability,minOnlineStatus,minAvailability,order
10,7,3,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,3,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,3,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,3,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,3,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,3,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,4,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,4,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,5,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,5,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,5,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,5,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,5,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,5,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,5,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,5,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
11,7,1,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,1,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,1,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,2,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,2,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,3,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,3,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,4,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,5,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,6,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,7,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,8,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,9,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
11,7,9,1.0,2.0,2.0,1.2,1.0,1.4,1.0,1.0,0
12,7,1,1.0,2.0,5.0,3.25,1.0,1.0,1.0,1.0,1
12,7,2,1.0,2.0,5.0,3.25,1.0,1.0,1.0,1.0,1
12,7,2,1.0,2.0,5.0,3.25,1.0,1.0,1.0,1.0,1
12,7,2,1.0,2.0,5.0,3.25,1.0,1.0,1.0,1.0,1
12,7,2,1.0,2.0,5.0,3.25,1.0,1.0,1.0,1.0,1
12,7,2,1.0,2.0,5.0,3.25,1.0,1.0,1.0,1.0,1
13,7,1,1.0,1.0,5.0,3.8333333333333335,1.0,1.0,1.0,1.0,1
13,7,2,1.0,1.0,5.0,3.8333333333333335,1.0,1.0,1.0,1.0,1
13,7,2,1.0,1.0,5.0,3.8333333333333335,1.0,1.0,1.0,1.0,1
13,7,2,1.0,1.0,5.0,3.8333333333333335,1.0,1.0,1.0,1.0,1
13,7,2,1.0,1.0,5.0,3.8333333333333335,1.0,1.0,1.0,1.0,1
13,7,2,1.0,1.0,5.0,3.8333333333333335,1.0,1.0,1.0,1.0,1
13,7,2,1.0,1.0,5.0,3.8333333333333335,1.0,1.0,1.0,1.0,1
13,7,2,1.0,1.0,5.0,3.8333333333333335,1.0,1.0,1.0,1.0,1
14,7,1,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
14,7,2,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
14,7,3,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
14,7,4,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
14,7,5,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
14,7,6,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
14,7,7,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,1,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,2,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,3,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,4,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,4,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,4,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
15,7,4,1.0,2.0,4.0,1.7254901960784317,1.0,1.25,1.0,1.0,1
16,7,1,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
17,7,1,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
17,7,2,1.0,2.0,5.0,2.25,1.0,1.0,1.0,1.0,1
18,7,1,1.0,1.0,4.0,2.5,1.0,1.0,1.0,1.0,1
18,7,2,1.0,1.0,4.0,2.5,1.0,1.0,1.0,1.0,1
18,7,3,1.0,1.0,4.0,2.5,1.0,1.0,1.0,1.0,1
18,7,3,1.0,1.0,4.0,2.5,1.0,1.0,1.0,1.0,1
18,7,3,1.0,1.0,4.0,2.5,1.0,1.0,1.0,1.0,1
18,7,3,1.0,1.0,4.0,2.5,1.0,1.0,1.0,1.0,1
18,7,3,1.0,1.0,4.0,2.5,1.0,1.0,1.0,1.0,1
19,7,1,1.0,2.0,4.0,2.6666666666666665,1.0,1.0,1.0,1.0,0
19,7,1,1.0,2.0,4.0,2.6666666666666665,1.0,1.0,1.0,1.0,0
19,7,1,1.0,2.0,4.0,2.6666666666666665,1.0,1.0,1.0,1.0,0
19,7,1,1.0,2.0,4.0,2.6666666666666665,1.0,1.0,1.0,1.0,0
19,7,2,1.0,2.0,4.0,2.6666666666666665,1.0,1.0,1.0,1.0,0
19,7,2,1.0,2.0,4.0,2.6666666666666665,1.0,1.0,1.0,1.0,0
19,7,2,1.0,2.0,4.0,2.6666666666666665,1.0,1.0,1.0,1.0,0
19,7,2,1.0,2.0,4.0,2.6666666666666665,1.0,1.0,1.0,1.0,0
20,7,1,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,2,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,3,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,4,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,5,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,6,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,7,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,8,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,8,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,9,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,10,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,10,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,10,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,10,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
20,7,10,1.0,2.0,2.0,1.75,1.0,1.0,1.0,1.0,1
21,7,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
21,7,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
21,7,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
21,7,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
22,7,1,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1
22,7,2,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1
22,7,2,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1
22,7,2,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1
22,7,2,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1
23,7,1,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,1,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,1,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,1,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,2,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,3,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,4,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,5,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,6,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,6,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,6,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,6,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,6,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,6,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,6,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,6,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
23,7,6,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1
24,7,1,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
25,7,1,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
25,7,2,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
25,7,3,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
26,7,1,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
27,7,1,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,2,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,3,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,4,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,5,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,6,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,7,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,8,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,8,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,8,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,8,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,8,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,8,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,8,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,8,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
27,7,8,1.0,2.0,4.0,2.6,1.0,1.0,1.0,1.0,1
28,7,1,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,0
28,7,1,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,0
28,7,1,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,0
28,7,1,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,0
28,7,1,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,0
28,7,1,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,0
29,7,1,1.0,2.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
29,7,2,1.0,2.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
29,7,2,1.0,2.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
29,7,2,1.0,2.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
29,7,3,1.0,2.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
29,7,4,1.0,2.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
29,7,4,1.0,2.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
29,7,4,1.0,2.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
30,7,1,1.0,2.0,2.0,1.6,1.0,1.0,1.0,1.0,0
30,7,2,1.0,2.0,2.0,1.6,1.0,1.0,1.0,1.0,0
30,7,3,1.0,2.0,2.0,1.6,1.0,1.0,1.0,1.0,0
30,7,3,1.0,2.0,2.0,1.6,1.0,1.0,1.0,1.0,0
30,7,3,1.0,2.0,2.0,1.6,1.0,1.0,1.0,1.0,0
30,7,3,1.0,2.0,2.0,1.6,1.0,1.0,1.0,1.0,0
30,7,3,1.0,2.0,2.0,1.6,1.0,1.0,1.0,1.0,0
30,7,3,1.0,2.0,2.0,1.6,1.0,1.0,1.0,1.0,0
31,7,1,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,1,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,1,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,2,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,3,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,4,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,5,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,5,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,5,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,6,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,6,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,6,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,6,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,6,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,6,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,7,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,7,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,7,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,7,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,7,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,7,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,7,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,7,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
31,7,7,1.0,1.0,5.0,1.7647058823529411,1.0,1.0,1.0,1.0,1
32,7,1,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,1,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,2,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,3,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,3,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,4,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,5,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,5,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,5,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,5,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,5,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,5,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,5,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
32,7,5,1.0,1.0,4.0,2.0,1.0,1.2222222222222223,1.0,1.0,1
33,7,1,1.0,2.0,2.0,1.3333333333333333,1.0,2.142857142857143,1.0,1.0,1
