sessionNo|startHour|startWeekday|duration|cCount|cMinPrice|cMaxPrice|cSumPrice|bCount|bMinPrice|bMaxPrice|bSumPrice|bStep|onlineStatus|availability|customerNo|maxVal|customerScore|accountLifetime|payments|age|address|lastOrder|order
10|6|5|1106.575|19|5.0|24.99|246.11|2|12.0|19.99|31.99|?|?|?|7|4000|555|55|23|51|2|24|n
11|6|5|0.0|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|2.691|0|?|?|?|0|?|?|?|3|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|17.354|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|26.703|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|42.911|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|51.264|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|57.733|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|71.653|0|?|?|?|0|?|?|?|3|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|83.864|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|93.83|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|100.227|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|117.972|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|121.184|0|?|?|?|0|?|?|?|3|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|128.795|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|132.285|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|144.369|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|148.728|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|156.163|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|160.948|0|?|?|?|0|?|?|?|3|y|completely orderable|?|?|?|?|?|?|?|?|y
11|6|5|172.179|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
12|6|5|9.22|2|9.99|9.99|19.98|1|9.99|9.99|9.99|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|91.283|4|5.99|9.99|31.96|2|5.99|9.99|15.98|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|118.485|6|5.99|49.95|131.86|3|5.99|49.95|65.93|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|137.588|8|5.99|52.5|236.86|4|5.99|52.5|118.43|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|161.33|10|5.99|52.5|258.84|5|5.99|52.5|129.42|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|184.801|12|5.99|52.5|280.82|6|5.99|52.5|140.41|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|224.753|14|5.99|52.5|317.82|7|5.99|52.5|158.91|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|555.557|14|5.99|52.5|317.82|7|5.99|52.5|158.91|1|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|594.719|14|5.99|52.5|317.82|7|5.99|52.5|158.91|2|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|638.904|14|5.99|52.5|317.82|7|5.99|52.5|158.91|3|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|735.665|14|5.99|52.5|317.82|7|5.99|52.5|158.91|3|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|753.965|14|5.99|52.5|317.82|7|5.99|52.5|158.91|3|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|779.61|14|5.99|52.5|317.82|7|5.99|52.5|158.91|4|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|861.674|14|5.99|52.5|317.82|7|5.99|52.5|158.91|5|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|896.022|14|5.99|52.5|317.82|7|5.99|52.5|158.91|4|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|907.65|16|5.99|52.5|354.82|8|5.99|52.5|177.41|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|1049.15|18|5.99|52.5|376.8|9|5.99|52.5|188.4|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|1148.007|20|5.99|52.5|396.78|10|5.99|52.5|198.39|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|1180.399|20|5.99|52.5|396.78|10|5.99|52.5|198.39|1|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|1230.558|21|5.99|59.99|456.77|11|5.99|59.99|258.38|?|?|?|8|2000|546|364|11|86|2|37|y
12|6|5|1272.408|21|5.99|59.99|456.77|11|5.99|59.99|258.38|1|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|1348.523|21|5.99|59.99|456.77|11|5.99|59.99|258.38|1|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|1376.866|21|5.99|59.99|456.77|11|5.99|59.99|258.38|1|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|1426.78|21|5.99|59.99|456.77|11|5.99|59.99|258.38|1|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|1446.453|21|5.99|59.99|456.77|11|5.99|59.99|258.38|3|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|1516.055|21|5.99|59.99|456.77|11|5.99|59.99|258.38|4|y|completely orderable|8|2000|546|364|11|86|2|37|y
12|6|5|1540.895|21|5.99|59.99|456.77|11|5.99|59.99|258.38|5|y|completely orderable|8|2000|546|364|11|86|2|37|y
13|6|5|0.0|0|?|?|?|0|?|?|?|2|y|completely orderable|?|?|?|?|?|?|?|?|y
13|6|5|60.412|0|?|?|?|0|?|?|?|2|y|completely orderable|?|?|?|?|?|?|?|?|y
13|6|5|83.18|0|?|?|?|0|?|?|?|2|y|completely orderable|?|?|?|?|?|?|?|?|y
13|6|5|97.784|0|?|?|?|0|?|?|?|2|y|completely orderable|?|?|?|?|?|?|?|?|y
13|6|5|118.991|0|?|?|?|0|?|?|?|2|y|completely orderable|?|?|?|?|?|?|?|?|y
13|6|5|123.856|0|?|?|?|0|?|?|?|2|y|completely orderable|?|?|?|?|?|?|?|?|y
13|6|5|128.918|0|?|?|?|0|?|?|?|2|y|completely orderable|?|?|?|?|?|?|?|?|y
13|6|5|160.506|0|?|?|?|0|?|?|?|2|y|completely orderable|?|?|?|?|?|?|?|?|y
13|6|5|174.363|0|?|?|?|0|?|?|?|3|y|completely orderable|?|?|?|?|?|?|?|?|y
13|6|5|243.075|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|y
13|6|5|279.537|0|?|?|?|0|?|?|?|5|y|completely orderable|?|?|?|?|?|?|?|?|y
14|6|5|33.166|3|14.99|14.99|29.98|1|14.99|14.99|14.99|?|?|?|?|?|?|?|?|?|?|?|n
14|6|5|98.439|4|14.99|29.99|59.97|1|14.99|14.99|14.99|1|y|completely orderable|?|?|?|?|?|?|?|?|n
14|6|5|118.857|4|14.99|29.99|59.97|1|14.99|14.99|14.99|2|y|completely orderable|?|?|?|?|?|?|?|?|n
14|6|5|130.534|4|14.99|29.99|59.97|1|14.99|14.99|14.99|1|y|completely orderable|?|?|?|?|?|?|?|?|n
15|6|5|1196.66|4|199.99|1999.99|3098.97|1|199.99|199.99|199.99|?|?|?|?|?|?|?|?|?|?|?|n
15|6|5|1208.612|4|199.99|1999.99|3098.97|1|199.99|199.99|199.99|2|y|completely orderable|?|?|?|?|?|?|?|?|n
16|6|5|6045.17|150|79.99|2999.99|87227.59|1|199.99|199.99|199.99|?|?|?|?|?|?|?|?|?|?|?|y
16|6|5|6066.117|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|?|?|?|?|?|?|?|?|?|?|?|y
16|6|5|6083.246|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|1|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6144.732|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|2|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6173.544|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|2|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6404.245|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|3|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6489.509|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|1|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6508.99|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|1|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6534.054|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|1|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6536.476|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|3|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6537.813|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|2|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6541.79|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|2|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6548.171|152|79.99|2999.99|87827.57|2|199.99|299.99|499.98|1|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6587.117|153|79.99|2999.99|88127.56|3|199.99|299.99|799.97|?|?|?|?|?|?|?|?|?|?|?|y
16|6|5|6598.215|153|79.99|2999.99|88127.56|3|199.99|299.99|799.97|1|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6613.731|153|79.99|2999.99|88127.56|3|199.99|299.99|799.97|1|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6629.952|154|79.99|2999.99|88427.55|4|199.99|299.99|1099.96|?|?|?|?|?|?|?|?|?|?|?|y
16|6|5|6632.833|154|79.99|2999.99|88427.55|4|199.99|299.99|1099.96|1|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6712.788|154|79.99|2999.99|88427.55|4|199.99|299.99|1099.96|3|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6754.289|154|79.99|2999.99|88427.55|4|199.99|299.99|1099.96|4|y|completely orderable|?|?|?|?|?|?|?|?|y
16|6|5|6826.536|154|79.99|2999.99|88427.55|4|199.99|299.99|1099.96|5|y|completely orderable|?|?|?|?|?|?|?|?|y
17|6|5|0.0|0|?|?|?|0|?|?|?|1|y|completely orderable|?|?|?|?|?|?|?|?|n
17|6|5|28.874|0|?|?|?|0|?|?|?|3|y|completely orderable|?|?|?|?|?|?|?|?|n
17|6|5|55.351|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|n
17|6|5|95.542|0|?|?|?|0|?|?|?|5|y|completely orderable|?|?|?|?|?|?|?|?|n
17|6|5|114.395|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|n
17|6|5|153.267|0|?|?|?|0|?|?|?|3|y|completely orderable|?|?|?|?|?|?|?|?|n
18|6|5|169.737|4|29.99|29.99|119.96|1|29.99|29.99|29.99|?|?|?|9|600|578|24|1|52|2|189|y
18|6|5|204.763|6|29.99|29.99|179.94|2|29.99|29.99|59.98|?|?|?|9|600|578|24|1|52|2|189|y
18|6|5|285.749|7|19.99|29.99|199.93|2|29.99|29.99|59.98|1|y|completely orderable|9|600|578|24|1|52|2|189|y
18|6|5|317.351|7|19.99|29.99|199.93|2|29.99|29.99|59.98|2|y|completely orderable|9|600|578|24|1|52|2|189|y
18|6|5|441.648|7|19.99|29.99|199.93|2|29.99|29.99|59.98|?|y|completely orderable|9|600|578|24|1|52|2|189|y
19|6|5|63.493|4|2.99|2.99|5.98|1|2.99|2.99|2.99|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|285.77|6|1.99|2.99|9.96|2|1.99|2.99|4.98|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|534.689|13|1.99|7.99|38.36|3|1.99|2.99|7.97|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|731.184|18|1.99|14.99|68.34|4|1.99|14.99|22.96|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|755.436|22|1.99|14.99|128.3|5|1.99|14.99|37.95|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|948.937|28|1.99|14.99|143.15|6|1.99|14.99|42.9|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|1431.267|34|0.8|14.99|152.93|7|1.99|14.99|44.89|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|1460.676|36|0.8|14.99|156.91|8|1.99|14.99|46.88|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|1492.737|38|0.8|14.99|160.89|9|1.99|14.99|48.87|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|2021.735|49|0.8|24.99|213.85|10|1.99|14.99|61.86|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|2156.66|54|0.8|24.99|251.8|11|1.99|14.99|75.86|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|2579.089|69|0.8|24.99|330.77|12|1.99|19.99|95.85|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|2848.315|79|0.8|24.99|381.74|13|1.99|19.99|112.84|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|2906.254|83|0.8|24.99|426.71|14|1.99|19.99|127.83|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|4480.371|159|0.8|34.99|1375.22|15|1.99|19.99|147.82|?|?|?|10|600|464|24|2|32|2|276|y
19|6|5|4616.795|162|0.8|34.99|1445.19|15|1.99|19.99|147.82|2|y|completely orderable|10|600|464|24|2|32|2|276|y
19|6|5|4633.984|162|0.8|34.99|1445.19|15|1.99|19.99|147.82|2|y|completely orderable|10|600|464|24|2|32|2|276|y
19|6|5|4696.417|162|0.8|34.99|1445.19|15|1.99|19.99|147.82|2|y|completely orderable|10|600|464|24|2|32|2|276|y
19|6|5|4714.493|162|0.8|34.99|1445.19|15|1.99|19.99|147.82|?|y|completely orderable|10|600|464|24|2|32|2|276|y
20|6|5|7447.637|11|49.99|499.99|2199.91|1|49.99|49.99|49.99|?|?|?|11|1400|568|136|11|58|2|61|n
20|6|5|7458.629|11|49.99|499.99|2199.91|1|49.99|49.99|49.99|3|y|completely orderable|11|1400|568|136|11|58|2|61|n
20|6|5|7510.03|11|49.99|499.99|2199.91|1|49.99|49.99|49.99|4|y|completely orderable|11|1400|568|136|11|58|2|61|n
20|6|5|7562.43|11|49.99|499.99|2199.91|1|49.99|49.99|49.99|4|y|completely orderable|11|1400|568|136|11|58|2|61|n
20|6|5|7591.394|11|49.99|499.99|2199.91|1|49.99|49.99|49.99|4|y|completely orderable|11|1400|568|136|11|58|2|61|n
20|6|5|7618.714|11|49.99|499.99|2199.91|1|49.99|49.99|49.99|5|y|completely orderable|11|1400|568|136|11|58|2|61|n
20|6|5|7637.498|11|49.99|499.99|2199.91|1|49.99|49.99|49.99|1|y|completely orderable|11|1400|568|136|11|58|2|61|n
20|6|5|7647.51|11|49.99|499.99|2199.91|1|49.99|49.99|49.99|1|y|?|11|1400|568|136|11|58|2|61|n
21|6|5|17.418|3|14.99|14.99|44.97|1|14.99|14.99|14.99|?|?|?|12|2500|540|222|34|51|2|23|y
21|6|5|49.063|3|14.99|14.99|44.97|1|14.99|14.99|14.99|1|y|completely orderable|12|2500|540|222|34|51|2|23|y
21|6|5|63.924|3|14.99|14.99|44.97|1|14.99|14.99|14.99|2|y|completely orderable|12|2500|540|222|34|51|2|23|y
21|6|5|106.952|3|14.99|14.99|44.97|1|14.99|14.99|14.99|3|y|completely orderable|12|2500|540|222|34|51|2|23|y
21|6|5|132.72|3|14.99|14.99|44.97|1|14.99|14.99|14.99|4|y|completely orderable|12|2500|540|222|34|51|2|23|y
21|6|5|152.401|3|14.99|14.99|44.97|1|14.99|14.99|14.99|5|y|completely orderable|12|2500|540|222|34|51|2|23|y
22|6|5|1183.504|24|29.0|119.95|1124.39|1|39.99|39.99|39.99|?|?|?|?|?|?|?|?|?|?|?|y
22|6|5|1419.418|29|19.99|119.95|1234.34|2|19.99|39.99|59.98|?|?|?|?|?|?|?|?|?|?|?|y
22|6|5|1646.355|31|19.99|119.95|1294.32|3|19.99|39.99|89.97|?|?|?|?|?|?|?|?|?|?|?|y
22|6|5|2269.815|38|13.99|119.95|1422.26|4|13.99|39.99|103.96|?|?|?|?|?|?|?|?|?|?|?|y
22|6|5|2676.008|50|13.99|119.95|1641.96|5|13.99|39.99|121.91|?|?|?|?|?|?|?|?|?|?|?|y
22|6|5|2824.035|56|13.99|119.95|1851.9|6|13.99|39.99|156.9|?|?|?|?|?|?|?|?|?|?|?|y
22|6|5|3008.097|64|13.99|119.95|2002.9|7|13.99|39.99|173.9|?|?|?|?|?|?|?|?|?|?|?|y
22|6|5|3024.132|64|13.99|119.95|2002.9|7|13.99|39.99|173.9|1|y|mainly orderable|?|?|?|?|?|?|?|?|y
22|6|5|3100.771|64|13.99|119.95|2002.9|7|13.99|39.99|173.9|1|y|completely orderable|?|?|?|?|?|?|?|?|y
22|6|5|3111.244|64|13.99|119.95|2002.9|7|13.99|39.99|173.9|2|y|completely orderable|?|?|?|?|?|?|?|?|y
22|6|5|3603.322|81|9.99|119.95|2292.44|8|9.99|39.99|183.89|?|?|?|?|?|?|?|?|?|?|?|y
22|6|5|3614.037|81|9.99|119.95|2292.44|8|9.99|39.99|183.89|2|y|completely orderable|?|?|?|?|?|?|?|?|y
22|6|5|3648.077|81|9.99|119.95|2292.44|8|9.99|39.99|183.89|2|y|completely orderable|?|?|?|?|?|?|?|?|y
22|6|5|3657.221|81|9.99|119.95|2292.44|8|9.99|39.99|183.89|2|y|completely orderable|?|?|?|?|?|?|?|?|y
22|6|5|3688.052|81|9.99|119.95|2292.44|8|9.99|39.99|183.89|1|y|completely orderable|?|?|?|?|?|?|?|?|y
22|6|5|3718.6|81|9.99|119.95|2292.44|8|9.99|39.99|183.89|1|y|completely orderable|?|?|?|?|?|?|?|?|y
22|6|5|3764.965|81|9.99|119.95|2292.44|8|9.99|39.99|183.89|2|y|completely orderable|?|?|?|?|?|?|?|?|y
22|6|5|3784.495|81|9.99|119.95|2292.44|8|9.99|39.99|183.89|?|y|completely orderable|?|?|?|?|?|?|?|?|y
23|6|5|0.0|1|6.99|6.99|6.99|1|6.99|6.99|6.99|?|?|?|?|?|?|?|?|?|?|?|n
23|6|5|26.997|1|6.99|6.99|6.99|1|6.99|6.99|6.99|2|y|completely orderable|?|?|?|?|?|?|?|?|n
24|6|5|5954.039|21|6.96|19.99|61.75|1|6.96|6.96|6.96|?|?|?|13|1400|476|79|15|38|2|37|y
24|6|5|6707.025|28|4.99|19.99|104.68|2|6.96|6.99|13.95|?|?|?|13|1400|476|79|15|38|2|37|y
24|6|5|7018.123|34|4.99|19.99|142.63|3|6.96|7.99|21.94|?|?|?|13|1400|476|79|15|38|2|37|y
24|6|5|7141.805|38|4.99|19.99|166.63|4|6.0|7.99|27.94|?|?|?|13|1400|476|79|15|38|2|37|y
24|6|5|7513.143|40|4.99|19.99|166.63|4|6.0|7.99|27.94|1|y|mainly orderable|13|1400|476|79|15|38|2|37|y
24|6|5|7660.169|40|4.99|19.99|166.63|4|6.0|7.99|27.94|1|y|mainly orderable|13|1400|476|79|15|38|2|37|y
24|6|5|7777.579|44|4.99|19.99|205.6|5|6.0|12.99|40.93|?|?|?|13|1400|476|79|15|38|2|37|y
24|6|5|7812.392|44|4.99|19.99|205.6|5|6.0|12.99|40.93|1|y|mainly orderable|13|1400|476|79|15|38|2|37|y
24|6|5|7869.436|44|4.99|19.99|205.6|5|6.0|12.99|40.93|1|y|completely orderable|13|1400|476|79|15|38|2|37|y
24|6|5|7963.074|44|4.99|19.99|205.6|5|6.0|12.99|40.93|2|y|completely orderable|13|1400|476|79|15|38|2|37|y
24|6|5|8123.871|44|4.99|19.99|205.6|5|6.0|12.99|40.93|2|y|completely orderable|13|1400|476|79|15|38|2|37|y
24|6|5|8169.771|44|4.99|19.99|205.6|5|6.0|12.99|40.93|2|y|completely orderable|13|1400|476|79|15|38|2|37|y
24|6|5|8233.241|44|4.99|19.99|205.6|5|6.0|12.99|40.93|2|y|completely orderable|13|1400|476|79|15|38|2|37|y
24|6|5|8297.004|44|4.99|19.99|205.6|5|6.0|12.99|40.93|2|y|completely orderable|13|1400|476|79|15|38|2|37|y
24|6|5|8353.821|44|4.99|19.99|205.6|5|6.0|12.99|40.93|?|y|completely orderable|13|1400|476|79|15|38|2|37|y
24|6|5|8409.084|44|4.99|19.99|205.6|5|6.0|12.99|40.93|4|y|completely orderable|13|1400|476|79|15|38|2|37|y
24|6|5|8484.409|44|4.99|19.99|205.6|5|6.0|12.99|40.93|?|y|completely orderable|13|1400|476|79|15|38|2|37|y
