sessionNo,maxBStep,avgBStep,maxOnlineStatus,minOnlineStatus,minAvailability,order
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
12,5.0,3.25,1.0,1.0,1.0,1
12,5.0,3.25,1.0,1.0,1.0,1
12,5.0,3.25,1.0,1.0,1.0,1
12,5.0,3.25,1.0,1.0,1.0,1
12,5.0,3.25,1.0,1.0,1.0,1
12,5.0,3.25,1.0,1.0,1.0,1
13,5.0,3.8333333333333335,1.0,1.0,1.0,1
13,5.0,3.8333333333333335,1.0,1.0,1.0,1
13,5.0,3.8333333333333335,1.0,1.0,1.0,1
13,5.0,3.8333333333333335,1.0,1.0,1.0,1
13,5.0,3.8333333333333335,1.0,1.0,1.0,1
13,5.0,3.8333333333333335,1.0,1.0,1.0,1
13,5.0,3.8333333333333335,1.0,1.0,1.0,1
13,5.0,3.8333333333333335,1.0,1.0,1.0,1
14,5.0,2.0,1.0,1.0,1.0,0
14,5.0,2.0,1.0,1.0,1.0,0
14,5.0,2.0,1.0,1.0,1.0,0
14,5.0,2.0,1.0,1.0,1.0,0
14,5.0,2.0,1.0,1.0,1.0,0
14,5.0,2.0,1.0,1.0,1.0,0
14,5.0,2.0,1.0,1.0,1.0,0
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
15,4.0,1.7254901960784317,1.0,1.0,1.0,1
16,5.0,2.0,1.0,1.0,1.0,0
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
17,5.0,2.25,1.0,1.0,1.0,1
18,4.0,2.5,1.0,1.0,1.0,1
18,4.0,2.5,1.0,1.0,1.0,1
18,4.0,2.5,1.0,1.0,1.0,1
18,4.0,2.5,1.0,1.0,1.0,1
18,4.0,2.5,1.0,1.0,1.0,1
18,4.0,2.5,1.0,1.0,1.0,1
18,4.0,2.5,1.0,1.0,1.0,1
19,4.0,2.6666666666666665,1.0,1.0,1.0,0
19,4.0,2.6666666666666665,1.0,1.0,1.0,0
19,4.0,2.6666666666666665,1.0,1.0,1.0,0
19,4.0,2.6666666666666665,1.0,1.0,1.0,0
19,4.0,2.6666666666666665,1.0,1.0,1.0,0
19,4.0,2.6666666666666665,1.0,1.0,1.0,0
19,4.0,2.6666666666666665,1.0,1.0,1.0,0
19,4.0,2.6666666666666665,1.0,1.0,1.0,0
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
20,2.0,1.75,1.0,1.0,1.0,1
21,1.0,1.0,1.0,1.0,1.0,0
21,1.0,1.0,1.0,1.0,1.0,0
21,1.0,1.0,1.0,1.0,1.0,0
21,1.0,1.0,1.0,1.0,1.0,0
22,2.0,2.0,1.0,1.0,1.0,1
22,2.0,2.0,1.0,1.0,1.0,1
22,2.0,2.0,1.0,1.0,1.0,1
22,2.0,2.0,1.0,1.0,1.0,1
22,2.0,2.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
23,5.0,3.0,1.0,1.0,1.0,1
24,5.0,2.0,1.0,1.0,1.0,0
25,5.0,2.0,1.0,1.0,1.0,0
25,5.0,2.0,1.0,1.0,1.0,0
25,5.0,2.0,1.0,1.0,1.0,0
26,5.0,2.0,1.0,1.0,1.0,0
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
27,4.0,2.6,1.0,1.0,1.0,1
28,5.0,3.0,1.0,1.0,1.0,0
28,5.0,3.0,1.0,1.0,1.0,0
28,5.0,3.0,1.0,1.0,1.0,0
28,5.0,3.0,1.0,1.0,1.0,0
28,5.0,3.0,1.0,1.0,1.0,0
28,5.0,3.0,1.0,1.0,1.0,0
29,2.0,1.3333333333333333,1.0,1.0,1.0,1
29,2.0,1.3333333333333333,1.0,1.0,1.0,1
29,2.0,1.3333333333333333,1.0,1.0,1.0,1
29,2.0,1.3333333333333333,1.0,1.0,1.0,1
29,2.0,1.3333333333333333,1.0,1.0,1.0,1
29,2.0,1.3333333333333333,1.0,1.0,1.0,1
29,2.0,1.3333333333333333,1.0,1.0,1.0,1
29,2.0,1.3333333333333333,1.0,1.0,1.0,1
30,2.0,1.6,1.0,1.0,1.0,0
30,2.0,1.6,1.0,1.0,1.0,0
30,2.0,1.6,1.0,1.0,1.0,0
30,2.0,1.6,1.0,1.0,1.0,0
30,2.0,1.6,1.0,1.0,1.0,0
30,2.0,1.6,1.0,1.0,1.0,0
30,2.0,1.6,1.0,1.0,1.0,0
30,2.0,1.6,1.0,1.0,1.0,0
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
31,5.0,1.7647058823529411,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
32,4.0,2.0,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
33,2.0,1.3333333333333333,1.0,1.0,1.0,1
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
34,2.0,1.1428571428571428,1.0,1.0,1.0,0
35,4.0,3.0,1.0,1.0,1.0,1
35,4.0,3.0,1.0,1.0,1.0,1
35,4.0,3.0,1.0,1.0,1.0,1
35,4.0,3.0,1.0,1.0,1.0,1
35,4.0,3.0,1.0,1.0,1.0,1
35,4.0,3.0,1.0,1.0,1.0,1
36,4.0,2.4,1.0,1.0,1.0,0
36,4.0,2.4,1.0,1.0,1.0,0
36,4.0,2.4,1.0,1.0,1.0,0
36,4.0,2.4,1.0,1.0,1.0,0
36,4.0,2.4,1.0,1.0,1.0,0
36,4.0,2.4,1.0,1.0,1.0,0
36,4.0,2.4,1.0,1.0,1.0,0
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
37,5.0,2.0,1.0,1.0,1.0,1
38,5.0,3.5,1.0,1.0,1.0,1
38,5.0,3.5,1.0,1.0,1.0,1
38,5.0,3.5,1.0,1.0,1.0,1
38,5.0,3.5,1.0,1.0,1.0,1
38,5.0,3.5,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
39,3.0,1.8888888888888888,1.0,1.0,1.0,1
40,5.0,4.0,1.0,1.0,1.0,1
40,5.0,4.0,1.0,1.0,1.0,1
40,5.0,4.0,1.0,1.0,1.0,1
40,5.0,4.0,1.0,1.0,1.0,1
40,5.0,4.0,1.0,1.0,1.0,1
41,2.0,2.0,1.0,1.0,1.0,0
41,2.0,2.0,1.0,1.0,1.0,0
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
42,5.0,2.7142857142857144,1.0,1.0,1.0,1
43,1.0,1.0,1.0,1.0,1.0,0
43,1.0,1.0,1.0,1.0,1.0,0
44,5.0,2.0,1.0,1.0,1.0,0
44,5.0,2.0,1.0,1.0,1.0,0
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
45,4.0,2.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,1.0,1.0,1
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
47,4.0,2.0,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
48,2.0,1.125,1.0,1.0,1.0,0
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
49,5.0,2.888888888888889,1.0,1.0,1.0,1
50,5.0,2.0,1.0,1.0,1.0,0
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
51,5.0,1.6923076923076923,1.0,1.0,1.0,1
52,2.0,1.5,1.0,1.0,1.0,1
52,2.0,1.5,1.0,1.0,1.0,1
52,2.0,1.5,1.0,1.0,1.0,1
